"","x"
"hsa.let.7a.2",0.000753904468395497
"hsa.let.7b",0.00080257459269387
"hsa.mir.125a",0.000729768279872419
"hsa.mir.130b",0.00156256197956106
"hsa.mir.141",0.000612853740910861
"hsa.mir.143",0.00226442131396765
"hsa.mir.187",0.00159713672121104
"hsa.mir.18a",0.00139001812454683
"hsa.mir.191",0.00172268500307523
"hsa.mir.203",0.00157121515538178
"hsa.mir.219.1",0.00109883502699118
"hsa.mir.24.2",0.00156797295114187
"hsa.mir.877",0.0016017357590852
"hsa.mir.98",0.000739776263250483
